position,level,salary,processed_date
Business Analyst,1,45000,2025-04-24 17:14:19.015790
Junior Consultant,2,50000,2025-04-24 17:14:19.015790
Senior Consultant,3,60000,2025-04-24 17:14:19.015790
Manager,4,80000,2025-04-24 17:14:19.015790
Country Manager,5,110000,2025-04-24 17:14:19.015790
Region Manager,6,150000,2025-04-24 17:14:19.015790
Partner,7,200000,2025-04-24 17:14:19.015790
Senior Partner,8,300000,2025-04-24 17:14:19.015790
C-level,9,500000,2025-04-24 17:14:19.015790
CEO,10,1000000,2025-04-24 17:14:19.015790
